,complains,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn
26,0.0,0.0,2990.0,41.0,9.0,16.0,3.0,1.0,2.0,157.24,1.0
27,1.0,0.0,2268.0,44.0,34.0,31.0,3.0,1.0,2.0,228.48,1.0
28,0.0,0.0,133.0,2.0,0.0,2.0,3.0,1.0,2.0,5.4,1.0
29,0.0,0.0,1668.0,25.0,0.0,6.0,3.0,1.0,1.0,67.72,0.0
30,0.0,1.0,6785.0,97.0,14.0,22.0,5.0,1.0,1.0,124.23,0.0
31,1.0,0.0,628.0,7.0,9.0,4.0,4.0,1.0,2.0,38.375,1.0
32,0.0,1.0,338.0,4.0,4.0,2.0,5.0,1.0,1.0,11.13,0.0
33,0.0,3.0,16075.0,238.0,0.0,80.0,2.0,2.0,1.0,734.085,0.0
34,0.0,3.0,6965.0,116.0,271.0,33.0,2.0,2.0,1.0,1538.145,0.0
35,0.0,0.0,3718.0,82.0,2.0,28.0,2.0,1.0,1.0,180.0,0.0
36,0.0,0.0,1665.0,44.0,38.0,20.0,3.0,1.0,2.0,220.36,0.0
37,0.0,0.0,2780.0,53.0,175.0,23.0,2.0,1.0,1.0,914.985,0.0
38,0.0,1.0,1315.0,36.0,193.0,11.0,2.0,2.0,1.0,929.295,0.0
39,0.0,0.0,1568.0,39.0,30.0,68.0,4.0,1.0,1.0,115.175,0.0
40,0.0,0.0,700.0,25.0,10.0,7.0,2.0,1.0,2.0,77.625,0.0
41,0.0,0.0,825.0,10.0,21.0,3.0,4.0,1.0,2.0,73.375,1.0
42,0.0,0.0,1225.0,32.0,19.0,13.0,2.0,1.0,1.0,142.065,0.0
43,0.0,0.0,3225.0,61.0,8.0,23.0,3.0,1.0,1.0,163.44,0.0
44,0.0,0.0,1695.0,26.0,28.0,14.0,2.0,1.0,1.0,203.445,0.0
45,0.0,1.0,6393.0,141.0,85.0,42.0,2.0,2.0,1.0,676.53,0.0
46,0.0,0.0,8933.0,171.0,73.0,40.0,4.0,1.0,1.0,410.1,0.0
47,0.0,3.0,2853.0,45.0,31.0,19.0,3.0,2.0,1.0,239.92,0.0
48,0.0,1.0,4390.0,40.0,215.0,10.0,3.0,1.0,1.0,1037.2,0.0
49,0.0,1.0,1488.0,19.0,0.0,7.0,3.0,1.0,1.0,60.28,1.0
50,0.0,1.0,4430.0,74.0,10.0,19.0,3.0,1.0,1.0,220.16,0.0
51,0.0,1.0,378.0,8.0,12.0,6.0,3.0,1.0,1.0,63.44,0.0
52,0.0,1.0,2513.0,63.0,364.0,26.0,3.0,1.0,1.0,1559.04,0.0
53,0.0,1.0,4258.0,69.0,6.0,37.0,1.0,1.0,1.0,270.985,0.0
54,0.0,1.0,2453.0,61.0,7.0,35.0,2.0,1.0,1.0,144.63,0.0
55,0.0,2.0,3835.0,85.0,37.0,30.0,3.0,2.0,1.0,304.8,0.0
56,0.0,1.0,2420.0,42.0,290.0,20.0,3.0,1.0,1.0,1258.48,0.0
57,0.0,3.0,9175.0,124.0,149.0,45.0,3.0,1.0,1.0,967.96,0.0
58,0.0,1.0,13833.0,172.0,5.0,46.0,3.0,1.0,1.0,580.2,0.0
59,0.0,2.0,4575.0,86.0,7.0,27.0,3.0,1.0,1.0,214.44,0.0
60,0.0,1.0,5978.0,98.0,12.0,14.0,3.0,1.0,1.0,291.04,0.0
61,0.0,1.0,2298.0,57.0,13.0,19.0,3.0,1.0,1.0,146.2,0.0
62,0.0,4.0,15200.0,228.0,59.0,34.0,3.0,1.0,1.0,853.12,0.0
63,0.0,2.0,3155.0,30.0,488.0,10.0,3.0,1.0,1.0,2079.4,0.0
64,0.0,1.0,15545.0,185.0,155.0,32.0,2.0,1.0,1.0,1405.35,0.0
65,0.0,2.0,6560.0,89.0,191.0,28.0,3.0,1.0,1.0,1029.96,0.0
66,0.0,1.0,935.0,17.0,5.0,13.0,2.0,1.0,1.0,65.34,0.0
67,0.0,1.0,770.0,17.0,18.0,10.0,3.0,1.0,1.0,103.48,0.0
68,1.0,1.0,60.0,3.0,5.0,2.0,2.0,1.0,1.0,25.335,1.0
69,0.0,1.0,7568.0,130.0,389.0,45.0,3.0,1.0,1.0,1863.92,0.0
70,0.0,2.0,11525.0,157.0,16.0,49.0,4.0,2.0,1.0,332.05,0.0
71,0.0,2.0,6778.0,78.0,113.0,39.0,2.0,1.0,1.0,817.02,0.0
72,1.0,1.0,1015.0,50.0,21.0,19.0,3.0,1.0,1.0,126.6,1.0
73,1.0,9.0,10495.0,96.0,6.0,44.0,5.0,2.0,1.0,167.865,0.0
74,0.0,2.0,5878.0,101.0,31.0,26.0,2.0,1.0,1.0,408.555,0.0
75,0.0,1.0,2900.0,25.0,5.0,16.0,3.0,1.0,1.0,137.0,0.0
76,0.0,1.0,3050.0,44.0,14.0,18.0,3.0,1.0,1.0,179.76,1.0
77,1.0,1.0,2328.0,47.0,39.0,33.0,3.0,1.0,1.0,251.0,1.0
78,0.0,1.0,193.0,5.0,5.0,4.0,3.0,1.0,1.0,27.92,1.0
79,0.0,1.0,1728.0,28.0,5.0,8.0,4.0,1.0,1.0,56.4,0.0
80,0.0,2.0,6845.0,100.0,19.0,24.0,5.0,1.0,1.0,132.675,0.0
81,0.0,1.0,688.0,10.0,14.0,6.0,4.0,1.0,1.0,52.45,1.0
82,0.0,2.0,398.0,7.0,9.0,4.0,5.0,1.0,1.0,19.575,0.0
83,0.0,4.0,16135.0,241.0,5.0,82.0,2.0,1.0,1.0,759.42,0.0
84,1.0,4.0,7025.0,119.0,276.0,35.0,3.0,2.0,1.0,1389.76,0.0
85,0.0,1.0,3778.0,85.0,7.0,30.0,3.0,1.0,1.0,182.52,0.0
86,0.0,1.0,1725.0,47.0,43.0,22.0,3.0,1.0,1.0,242.88,0.0
87,0.0,1.0,2840.0,56.0,180.0,25.0,2.0,1.0,1.0,940.32,0.0
88,0.0,2.0,1375.0,39.0,198.0,13.0,3.0,2.0,1.0,848.56,0.0
89,0.0,1.0,1628.0,42.0,35.0,70.0,4.0,1.0,1.0,129.25,0.0
90,0.0,1.0,760.0,28.0,15.0,9.0,3.0,1.0,1.0,91.52,0.0
91,0.0,1.0,885.0,13.0,26.0,5.0,4.0,1.0,1.0,87.45,0.0
92,0.0,1.0,1285.0,35.0,24.0,15.0,2.0,1.0,1.0,167.4,0.0
93,0.0,1.0,3285.0,64.0,13.0,25.0,3.0,1.0,1.0,185.96,0.0
94,0.0,1.0,1755.0,29.0,33.0,16.0,2.0,1.0,1.0,228.78,0.0
95,0.0,2.0,6453.0,144.0,90.0,44.0,2.0,2.0,1.0,701.865,0.0
96,0.0,1.0,8993.0,174.0,78.0,42.0,5.0,1.0,1.0,254.505,0.0
97,0.0,4.0,2913.0,48.0,36.0,21.0,3.0,1.0,1.0,262.44,0.0
98,0.0,2.0,4450.0,43.0,220.0,12.0,3.0,1.0,1.0,1059.72,0.0
99,1.0,2.0,1548.0,22.0,5.0,9.0,3.0,1.0,1.0,82.8,1.0
100,0.0,0.0,4310.0,68.0,0.0,15.0,2.0,1.0,1.0,197.01,0.0
101,0.0,0.0,258.0,2.0,2.0,2.0,2.0,1.0,2.0,20.7,0.0
102,0.0,0.0,2393.0,57.0,354.0,22.0,2.0,1.0,1.0,1703.25,0.0
103,0.0,0.0,4138.0,63.0,0.0,33.0,1.0,1.0,1.0,231.055,0.0
104,0.0,0.0,2333.0,55.0,0.0,31.0,1.0,1.0,1.0,131.34,0.0
105,0.0,0.0,3715.0,79.0,27.0,26.0,3.0,1.0,1.0,259.76,0.0
106,0.0,0.0,2300.0,36.0,280.0,16.0,3.0,1.0,1.0,1213.44,0.0
107,0.0,1.0,9055.0,118.0,139.0,41.0,3.0,1.0,1.0,922.92,0.0
108,0.0,0.0,13713.0,166.0,0.0,42.0,3.0,1.0,1.0,555.16,0.0
109,0.0,0.0,4455.0,80.0,0.0,23.0,3.0,1.0,1.0,181.4,0.0
110,0.0,0.0,5858.0,92.0,2.0,10.0,2.0,1.0,1.0,276.75,0.0
111,1.0,0.0,2178.0,51.0,3.0,15.0,3.0,1.0,2.0,101.16,0.0
112,0.0,2.0,15080.0,222.0,49.0,30.0,3.0,1.0,1.0,808.08,0.0
113,0.0,0.0,3035.0,24.0,478.0,6.0,3.0,1.0,1.0,2034.36,0.0
114,0.0,0.0,15425.0,179.0,145.0,28.0,2.0,1.0,1.0,1354.68,0.0
115,0.0,0.0,6440.0,83.0,181.0,24.0,3.0,1.0,1.0,984.92,0.0
116,0.0,0.0,815.0,11.0,0.0,9.0,2.0,1.0,2.0,37.17,0.0
117,0.0,0.0,650.0,11.0,8.0,6.0,2.0,1.0,2.0,65.745,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
119,0.0,0.0,7448.0,124.0,379.0,41.0,2.0,1.0,1.0,2046.24,0.0
120,0.0,0.0,11405.0,151.0,6.0,45.0,3.0,1.0,1.0,486.24,0.0
121,0.0,0.0,6658.0,72.0,103.0,35.0,2.0,1.0,1.0,766.35,0.0
122,0.0,0.0,895.0,44.0,11.0,15.0,2.0,1.0,2.0,91.755,1.0
123,0.0,7.0,10375.0,90.0,0.0,40.0,4.0,1.0,1.0,261.625,0.0
124,0.0,0.0,5758.0,95.0,21.0,22.0,2.0,1.0,1.0,357.885,1.0
125,0.0,0.0,2780.0,19.0,0.0,12.0,3.0,1.0,1.0,111.96,0.0
126,0.0,0.0,2930.0,38.0,4.0,14.0,2.0,1.0,2.0,151.56,1.0
127,1.0,0.0,2208.0,41.0,29.0,29.0,3.0,1.0,2.0,205.96,1.0
128,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0
129,0.0,0.0,1608.0,22.0,0.0,4.0,3.0,1.0,1.0,65.2,0.0
130,0.0,0.0,6725.0,94.0,9.0,20.0,4.0,1.0,1.0,192.975,0.0
131,0.0,0.0,568.0,4.0,4.0,2.0,4.0,1.0,2.0,24.3,1.0
132,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0
133,0.0,2.0,16015.0,235.0,0.0,78.0,2.0,1.0,1.0,731.25,0.0
134,0.0,2.0,6905.0,113.0,266.0,31.0,2.0,2.0,1.0,1512.81,0.0
135,0.0,0.0,3658.0,79.0,0.0,26.0,2.0,1.0,1.0,168.165,0.0
136,0.0,0.0,1605.0,41.0,33.0,18.0,3.0,1.0,2.0,197.84,0.0
137,0.0,0.0,2720.0,50.0,170.0,21.0,2.0,1.0,1.0,889.65,0.0
138,0.0,0.0,1255.0,33.0,188.0,9.0,2.0,2.0,1.0,903.96,0.0
139,0.0,0.0,1508.0,36.0,25.0,66.0,4.0,1.0,1.0,101.1,0.0
140,0.0,0.0,640.0,22.0,5.0,5.0,2.0,1.0,2.0,52.29,0.0
141,1.0,0.0,765.0,7.0,16.0,1.0,4.0,1.0,2.0,59.3,1.0
142,0.0,0.0,1165.0,29.0,14.0,11.0,2.0,1.0,1.0,116.73,0.0
143,0.0,0.0,3165.0,58.0,3.0,21.0,3.0,1.0,1.0,140.92,0.0
144,0.0,0.0,1635.0,23.0,23.0,12.0,2.0,1.0,1.0,178.11,0.0
145,0.0,0.0,6333.0,138.0,80.0,40.0,1.0,2.0,1.0,795.905,0.0
146,0.0,0.0,8873.0,168.0,68.0,38.0,4.0,1.0,1.0,396.025,0.0
147,0.0,2.0,2793.0,42.0,26.0,17.0,3.0,1.0,1.0,217.4,0.0
148,0.0,0.0,4330.0,37.0,210.0,8.0,3.0,1.0,1.0,1014.68,0.0
149,0.0,0.0,1428.0,16.0,0.0,5.0,3.0,1.0,1.0,57.76,1.0
150,0.0,1.0,4450.0,73.0,15.0,21.0,3.0,1.0,1.0,240.92,0.0
151,1.0,0.0,398.0,7.0,17.0,8.0,3.0,1.0,2.0,84.2,1.0
152,0.0,1.0,2533.0,62.0,369.0,28.0,3.0,1.0,1.0,1579.8,0.0
153,0.0,1.0,4278.0,68.0,11.0,39.0,1.0,1.0,1.0,299.53,0.0
154,0.0,1.0,2473.0,60.0,12.0,37.0,2.0,1.0,1.0,167.985,0.0
155,0.0,2.0,3855.0,84.0,42.0,32.0,3.0,1.0,1.0,325.56,0.0
156,0.0,1.0,2440.0,41.0,295.0,22.0,3.0,1.0,1.0,1279.24,0.0
157,0.0,3.0,9195.0,123.0,154.0,47.0,3.0,1.0,1.0,988.72,0.0
158,0.0,1.0,13853.0,171.0,10.0,48.0,3.0,1.0,1.0,600.96,0.0
159,0.0,2.0,4595.0,85.0,12.0,29.0,3.0,1.0,1.0,235.2,0.0
160,0.0,1.0,5998.0,97.0,17.0,16.0,3.0,1.0,1.0,311.8,0.0
161,0.0,0.0,2318.0,56.0,18.0,21.0,3.0,1.0,2.0,166.96,0.0
162,0.0,4.0,15220.0,227.0,64.0,36.0,3.0,2.0,1.0,873.88,0.0
163,0.0,2.0,3175.0,29.0,493.0,12.0,3.0,1.0,1.0,2100.16,0.0
164,0.0,1.0,15565.0,184.0,160.0,34.0,2.0,1.0,1.0,1428.705,0.0
165,0.0,2.0,6580.0,88.0,196.0,30.0,3.0,1.0,1.0,1050.72,0.0
166,0.0,0.0,955.0,16.0,10.0,15.0,2.0,1.0,2.0,88.695,0.0
167,0.0,0.0,790.0,16.0,23.0,12.0,3.0,1.0,2.0,124.24,0.0
168,0.0,0.0,80.0,2.0,10.0,4.0,2.0,1.0,2.0,48.69,1.0
169,0.0,1.0,7588.0,129.0,394.0,47.0,3.0,1.0,1.0,1884.68,0.0
170,0.0,2.0,11545.0,156.0,21.0,51.0,4.0,1.0,1.0,345.025,0.0
171,0.0,2.0,6798.0,77.0,118.0,41.0,2.0,1.0,1.0,840.375,0.0
172,1.0,0.0,1035.0,49.0,26.0,21.0,3.0,1.0,2.0,147.36,1.0
173,1.0,9.0,10515.0,95.0,11.0,46.0,5.0,1.0,1.0,175.65,0.0
174,0.0,2.0,5898.0,100.0,36.0,28.0,2.0,1.0,1.0,431.91,1.0
175,0.0,1.0,2920.0,24.0,10.0,18.0,3.0,1.0,1.0,157.76,0.0
176,0.0,0.0,3070.0,43.0,19.0,20.0,3.0,1.0,2.0,200.52,1.0
177,1.0,0.0,2348.0,46.0,44.0,35.0,3.0,1.0,2.0,271.76,1.0
178,0.0,0.0,213.0,4.0,10.0,6.0,3.0,1.0,2.0,48.68,1.0
179,0.0,1.0,1748.0,27.0,10.0,10.0,4.0,1.0,1.0,69.375,0.0
180,0.0,2.0,6865.0,99.0,24.0,26.0,5.0,1.0,1.0,140.46,0.0
181,1.0,0.0,708.0,9.0,19.0,8.0,4.0,1.0,2.0,65.425,1.0
182,0.0,2.0,418.0,6.0,14.0,6.0,5.0,1.0,1.0,27.36,0.0
183,0.0,4.0,16155.0,240.0,10.0,84.0,2.0,1.0,1.0,782.775,0.0
184,1.0,4.0,7045.0,118.0,281.0,37.0,2.0,2.0,1.0,1586.835,0.0
185,0.0,1.0,3798.0,84.0,12.0,32.0,3.0,1.0,1.0,203.28,0.0
186,0.0,0.0,1745.0,46.0,48.0,24.0,3.0,1.0,2.0,263.64,0.0
187,0.0,1.0,2860.0,55.0,185.0,27.0,2.0,1.0,1.0,963.675,0.0
188,0.0,2.0,1395.0,38.0,203.0,15.0,2.0,2.0,1.0,977.985,0.0
189,0.0,1.0,1648.0,41.0,40.0,72.0,4.0,1.0,1.0,142.225,0.0
190,0.0,0.0,780.0,27.0,20.0,11.0,3.0,1.0,2.0,112.28,0.0
191,0.0,0.0,905.0,12.0,31.0,7.0,4.0,1.0,2.0,100.425,0.0
192,0.0,1.0,1305.0,34.0,29.0,17.0,2.0,1.0,1.0,190.755,0.0
193,0.0,1.0,3305.0,63.0,18.0,27.0,3.0,1.0,1.0,206.72,0.0
194,0.0,1.0,1775.0,28.0,38.0,18.0,2.0,1.0,1.0,252.135,0.0
195,0.0,2.0,6473.0,143.0,95.0,46.0,2.0,2.0,1.0,725.22,0.0
196,0.0,1.0,9013.0,173.0,83.0,44.0,5.0,1.0,1.0,262.29,0.0
197,0.0,4.0,2933.0,47.0,41.0,23.0,3.0,1.0,1.0,283.2,0.0
198,0.0,2.0,4470.0,42.0,225.0,14.0,3.0,1.0,1.0,1080.48,0.0
199,0.0,2.0,1568.0,21.0,10.0,11.0,3.0,1.0,1.0,103.56,1.0
200,0.0,0.0,4290.0,69.0,0.0,13.0,2.0,1.0,1.0,196.155,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
202,0.0,0.0,2373.0,58.0,349.0,20.0,2.0,1.0,1.0,1679.895,0.0
203,0.0,0.0,4118.0,64.0,0.0,31.0,1.0,1.0,1.0,230.01,0.0
204,0.0,0.0,2313.0,56.0,0.0,29.0,1.0,1.0,1.0,130.295,0.0
205,0.0,0.0,3695.0,80.0,22.0,24.0,3.0,1.0,1.0,239.0,0.0
206,0.0,0.0,2280.0,37.0,275.0,14.0,3.0,1.0,1.0,1192.68,0.0
207,0.0,1.0,9035.0,119.0,134.0,39.0,3.0,1.0,1.0,902.16,0.0
208,0.0,0.0,13693.0,167.0,0.0,40.0,3.0,1.0,1.0,554.4,0.0
209,0.0,0.0,4435.0,81.0,0.0,21.0,3.0,1.0,1.0,180.64,0.0
210,0.0,0.0,5838.0,93.0,0.0,8.0,2.0,1.0,1.0,266.895,0.0
211,0.0,0.0,2158.0,52.0,0.0,13.0,3.0,1.0,2.0,88.4,0.0
212,0.0,2.0,15060.0,223.0,44.0,28.0,3.0,1.0,1.0,787.32,0.0
213,0.0,0.0,3015.0,25.0,473.0,4.0,3.0,1.0,1.0,2013.6,0.0
214,0.0,0.0,15405.0,180.0,140.0,26.0,2.0,1.0,1.0,1331.325,0.0
215,0.0,0.0,6420.0,84.0,176.0,22.0,3.0,1.0,1.0,964.16,0.0
216,0.0,0.0,795.0,12.0,0.0,7.0,2.0,1.0,2.0,36.315,0.0
217,0.0,0.0,630.0,12.0,3.0,4.0,2.0,1.0,2.0,42.39,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
219,0.0,0.0,7428.0,125.0,374.0,39.0,2.0,1.0,1.0,2022.885,0.0
220,0.0,0.0,11385.0,152.0,1.0,43.0,3.0,1.0,1.0,465.48,0.0
221,0.0,0.0,6638.0,73.0,98.0,33.0,2.0,1.0,1.0,742.995,0.0
222,0.0,0.0,875.0,45.0,6.0,13.0,2.0,1.0,2.0,68.4,1.0
223,0.0,7.0,10355.0,91.0,0.0,38.0,4.0,1.0,1.0,261.15,0.0
224,1.0,0.0,5738.0,96.0,16.0,20.0,2.0,1.0,1.0,334.53,1.0
225,0.0,0.0,2760.0,20.0,0.0,10.0,3.0,1.0,1.0,111.2,0.0
226,1.0,0.0,2910.0,39.0,0.0,12.0,3.0,1.0,2.0,117.96,1.0
227,0.0,0.0,2188.0,42.0,24.0,27.0,3.0,1.0,2.0,185.2,1.0
228,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0
229,0.0,0.0,1588.0,23.0,0.0,2.0,3.0,1.0,1.0,64.44,0.0
230,0.0,0.0,6705.0,95.0,4.0,18.0,4.0,1.0,1.0,180.0,0.0
231,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0
232,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0
233,0.0,2.0,15995.0,236.0,0.0,76.0,2.0,1.0,1.0,730.395,0.0
234,0.0,2.0,6885.0,114.0,261.0,29.0,2.0,2.0,1.0,1489.455,0.0
235,0.0,0.0,3638.0,80.0,0.0,24.0,2.0,1.0,1.0,167.31,0.0
236,0.0,0.0,1585.0,42.0,28.0,16.0,3.0,1.0,2.0,177.08,0.0
237,0.0,0.0,2700.0,51.0,165.0,19.0,2.0,1.0,1.0,866.295,0.0
238,0.0,0.0,1235.0,34.0,183.0,7.0,2.0,2.0,1.0,880.605,0.0
239,0.0,0.0,1488.0,37.0,20.0,64.0,4.0,1.0,1.0,88.125,0.0
240,0.0,0.0,620.0,23.0,0.0,3.0,2.0,1.0,2.0,28.935,0.0
241,0.0,0.0,0.0,0.0,11.0,0.0,4.0,1.0,2.0,27.5,0.0
242,0.0,0.0,1145.0,30.0,9.0,9.0,2.0,1.0,1.0,93.375,0.0
243,0.0,0.0,3145.0,59.0,0.0,19.0,3.0,1.0,1.0,128.16,0.0
244,0.0,0.0,1615.0,24.0,18.0,10.0,2.0,1.0,1.0,154.755,0.0
245,0.0,0.0,6313.0,139.0,75.0,38.0,1.0,2.0,1.0,767.36,0.0
246,0.0,0.0,8853.0,169.0,63.0,36.0,4.0,1.0,1.0,383.05,0.0
247,0.0,2.0,2773.0,43.0,21.0,15.0,3.0,1.0,1.0,196.64,0.0
248,0.0,0.0,4310.0,38.0,205.0,6.0,3.0,1.0,1.0,993.92,0.0
249,0.0,0.0,1408.0,17.0,0.0,3.0,3.0,1.0,1.0,57.0,1.0
250,0.0,1.0,4630.0,81.0,20.0,23.0,3.0,1.0,1.0,268.44,0.0
251,0.0,0.0,578.0,15.0,22.0,10.0,3.0,1.0,2.0,111.72,0.0
252,0.0,1.0,2713.0,70.0,374.0,30.0,3.0,1.0,1.0,1607.32,0.0
253,0.0,1.0,4458.0,76.0,16.0,41.0,1.0,1.0,1.0,337.37,0.0
254,0.0,1.0,2653.0,68.0,17.0,39.0,2.0,1.0,1.0,198.945,0.0
255,0.0,2.0,4035.0,92.0,47.0,34.0,3.0,1.0,1.0,353.08,0.0
256,0.0,1.0,2620.0,49.0,300.0,24.0,3.0,1.0,1.0,1306.76,0.0
257,0.0,3.0,9375.0,131.0,159.0,49.0,3.0,1.0,1.0,1016.24,0.0
258,0.0,1.0,14033.0,179.0,15.0,50.0,3.0,1.0,1.0,628.48,0.0
259,0.0,2.0,4775.0,93.0,17.0,31.0,3.0,1.0,1.0,262.72,0.0
260,0.0,1.0,6178.0,105.0,22.0,18.0,3.0,1.0,1.0,339.32,0.0
261,1.0,0.0,2498.0,64.0,23.0,23.0,3.0,1.0,2.0,194.48,0.0
262,0.0,4.0,15400.0,235.0,69.0,38.0,3.0,1.0,1.0,901.4,0.0
263,0.0,2.0,3355.0,37.0,498.0,14.0,3.0,1.0,1.0,2127.68,0.0
264,0.0,1.0,15745.0,192.0,165.0,36.0,2.0,1.0,1.0,1459.665,0.0
265,0.0,2.0,6760.0,96.0,201.0,32.0,3.0,1.0,1.0,1078.24,0.0
266,0.0,0.0,1135.0,24.0,15.0,17.0,2.0,1.0,2.0,119.655,0.0
267,0.0,0.0,970.0,24.0,28.0,14.0,3.0,1.0,2.0,151.76,0.0
268,0.0,0.0,260.0,10.0,15.0,6.0,2.0,1.0,2.0,79.65,1.0
269,0.0,1.0,7768.0,137.0,399.0,49.0,3.0,1.0,1.0,1912.2,0.0
270,0.0,2.0,11725.0,164.0,26.0,53.0,4.0,1.0,1.0,362.225,0.0
271,0.0,2.0,6978.0,85.0,123.0,43.0,2.0,1.0,1.0,871.335,0.0
272,1.0,0.0,1215.0,57.0,31.0,23.0,3.0,1.0,2.0,174.88,1.0
273,0.0,9.0,10695.0,103.0,16.0,48.0,5.0,2.0,1.0,185.97,0.0
274,0.0,2.0,6078.0,108.0,41.0,30.0,2.0,1.0,1.0,462.87,0.0
275,0.0,1.0,3100.0,32.0,15.0,20.0,3.0,1.0,1.0,185.28,0.0
276,1.0,0.0,3250.0,51.0,24.0,22.0,3.0,1.0,2.0,228.04,1.0
277,1.0,0.0,2528.0,54.0,49.0,37.0,4.0,1.0,2.0,187.05,1.0
278,0.0,0.0,393.0,12.0,15.0,8.0,3.0,1.0,2.0,76.2,1.0
279,0.0,1.0,1928.0,35.0,15.0,12.0,4.0,1.0,1.0,86.575,0.0
280,0.0,2.0,7045.0,107.0,29.0,28.0,5.0,1.0,1.0,150.78,0.0
281,0.0,0.0,888.0,17.0,24.0,10.0,4.0,1.0,2.0,82.625,1.0
282,0.0,2.0,598.0,14.0,19.0,8.0,5.0,1.0,1.0,37.68,0.0
283,1.0,4.0,16335.0,248.0,15.0,86.0,2.0,1.0,1.0,813.735,0.0
284,1.0,4.0,7225.0,126.0,286.0,39.0,3.0,2.0,1.0,1438.04,0.0
285,0.0,1.0,3978.0,92.0,17.0,34.0,3.0,1.0,1.0,230.8,0.0
286,0.0,0.0,1925.0,54.0,53.0,26.0,3.0,1.0,2.0,291.16,0.0
287,0.0,1.0,3040.0,63.0,190.0,29.0,2.0,1.0,1.0,994.635,0.0
288,0.0,2.0,1575.0,46.0,208.0,17.0,3.0,2.0,1.0,896.84,0.0
289,0.0,1.0,1828.0,49.0,45.0,74.0,5.0,1.0,1.0,95.655,0.0
290,0.0,0.0,960.0,35.0,25.0,13.0,3.0,1.0,2.0,139.8,0.0
291,0.0,0.0,1085.0,20.0,36.0,9.0,4.0,1.0,2.0,117.625,0.0
292,0.0,1.0,1485.0,42.0,34.0,19.0,2.0,1.0,1.0,221.715,0.0
293,0.0,1.0,3485.0,71.0,23.0,29.0,3.0,1.0,1.0,234.24,0.0
294,0.0,1.0,1955.0,36.0,43.0,20.0,3.0,1.0,1.0,251.64,0.0
